cc,lon,lat,status,place,unit,unit_share,why,reviewed
ao,13.04632,-8.97360,unreviewed,"Luanda, AO0516",AO0516,0.431,"one hex at the cap, 43% of the municipality, 16.5 km from Talatona, where Kontur is 14,153/km2",2026-09-14 f95259a4-kontur
ao,13.22732,-8.90777,real,Luanda,AO0508,0.957,"219 hexes, 161 at the cap. peak 7.8 km from Luanda, where Kontur is 46,200/km2; block holds 0.82x the city's figure",2026-09-14 f95259a4-kontur
bd,90.86712,24.46372,unreviewed,"Kishoreganj, BGD_03_05_06",BGD_03_05_06,0.182,"2 hexes, one at the cap, 18% of the upazila, no town within 20 km",2026-09-14 f95259a4-kontur
bd,90.79487,24.24440,unreviewed,"Kishoreganj, BGD_03_05_07",BGD_03_05_07,0.290,"4 hexes, one at the cap, 29% of the upazila, no town within 20 km",2026-09-14 f95259a4-kontur
bd,90.68038,24.32923,unreviewed,"Kishoreganj, BGD_03_05_12",BGD_03_05_12,0.125,"one hex at the cap, 12.5% of the upazila, 17.7 km from Sripur",2026-09-14 f95259a4-kontur
bd,90.78311,24.42944,unreviewed,"Mymensingh division, BGD_03_05_08",BGD_03_05_08,0.393,"10 hexes, one at the cap, 39% of the upazila, no town within 20 km",2026-09-14 f95259a4-kontur
bd,91.10110,22.85782,unreviewed,"Noakhali coast, BGD_02_10_09",BGD_02_10_09,0.367,"10 hexes, one at the cap, 37% of the upazila, 17.6 km from Companiganj",2026-09-14 f95259a4-kontur
bd,91.80545,22.36550,real,Chattogram,BGD_02_04_02,0.741,"98 hexes, 31 at the cap. peak 5.9 km from Chattogram, where Kontur is 46,199/km2; block holds 0.38x the city's figure",2026-09-14 f95259a4-kontur
bd,90.37478,23.76099,real,Dhaka,BGD_03_09_04,0.937,"404 hexes, 289 at the cap. peak 1.3 km from Dhaka, where Kontur is 46,200/km2; block holds 0.70x the city's figure",2026-09-14 f95259a4-kontur
bd,90.40584,23.87131,real,Dhaka,BGD_03_03_01,0.541,"107 hexes, 1 at the cap. peak 13.3 km from Dhaka, where Kontur is 46,200/km2; block holds 0.14x the city's figure",2026-09-14 f95259a4-kontur
bd,90.25336,23.80904,real,Dhaka,BGD_03_01_36,0.084,"7 hexes, 7 at the cap. peak 17.7 km from Dhaka, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
bd,90.34850,23.72466,real,Dhaka,BGD_03_01_23,0.056,"5 hexes, 2 at the cap. peak 4.5 km from Dhaka, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
bd,90.51680,23.80865,real,Dhaka,BGD_03_09_05,0.046,"1 hexes, 1 at the cap. peak 11.0 km from Dhaka, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
bd,90.29349,23.83753,real,Dhaka,BGD_03_01_36,0.036,"3 hexes, 3 at the cap. peak 17.0 km from Dhaka, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
bd,90.29444,23.85233,real,Dhaka,BGD_03_01_36,0.036,"3 hexes, 3 at the cap. peak 18.7 km from Dhaka, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
bd,89.91731,24.24729,real,Tangail,BGD_03_13_12,0.266,"6 hexes, 1 at the cap. peak 2.2 km from Tangail, where Kontur is 43,367/km2; block holds 0.40x the city's figure",2026-09-14 f95259a4-kontur
ci,-4.10390,5.37583,real,Abidjan,District D'Abidjan,0.217,"102 hexes, 2 at the cap. peak 10.2 km from Abidjan, where Kontur is 27,354/km2; block holds 0.22x the city's figure",2026-09-14 f95259a4-kontur
ci,-3.95878,5.31148,real,Abidjan,District D'Abidjan,0.151,"52 hexes, 2 at the cap. peak 8.3 km from Abidjan, where Kontur is 27,354/km2; block holds 0.15x the city's figure",2026-09-14 f95259a4-kontur
ci,-4.02158,5.34942,real,Abidjan,District D'Abidjan,0.075,"25 hexes, 2 at the cap. peak 3.9 km from Abidjan, where Kontur is 27,354/km2; block holds 0.08x the city's figure",2026-09-14 f95259a4-kontur
co,-74.26320,8.55317,unreviewed,1 km from Tiquisio,CO13,0.036,"3 hexes, 2 at the cap. peak 1.5 km from Tiquisio, where Kontur is 46,200/km2; block holds 4.00x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
co,-74.80161,10.91627,real,Barranquilla,CO08,0.576,"97 hexes, 6 at the cap. peak 7.6 km from Barranquilla, where Kontur is 22,236/km2; block holds 1.16x the city's figure",2026-09-14 f95259a4-kontur
co,-74.16370,4.57044,real,Bogota,CO11,0.905,"412 hexes, 17 at the cap. peak 19.5 km from Bogota, where Kontur is 46,199/km2; block holds 1.11x the city's figure",2026-09-14 f95259a4-kontur
co,-73.11237,7.12167,real,Bucaramanga,CO68,0.287,"on the city's real centre, where Kontur is at the cap within 1 km; worldcities' point is 12 km east in the hills",2026-09-14 f95259a4-kontur
co,-76.54667,3.45227,real,Cali,CO76,0.434,"115 hexes, 1 at the cap. peak 4.3 km from Cali, where Kontur is 27,649/km2; block holds 0.86x the city's figure",2026-09-14 f95259a4-kontur
co,-72.26838,11.71571,unreviewed,Manaure,CO44,0.094,"5 hexes, 2 at the cap. peak 19.2 km from Manaure, where Kontur is 32,880/km2; block holds 1.52x the city's figure; demoted from real on review: 5 hexes hold 1.5x Manaure's figure, 9.4% of La Guajira",2026-09-14 f95259a4-kontur
co,-74.45998,8.91615,unreviewed,Pinillos,CO13,0.020,"2 hexes, 1 at the cap. peak 0.7 km from Pinillos, where Kontur is 46,199/km2; block holds 1.99x the city's figure; demoted from real on review: 2 hexes hold 2.0x Pinillos' figure",2026-09-14 f95259a4-kontur
co,-75.45267,8.95356,unreviewed,Sahagun,CO23,0.085,"6 hexes, 2 at the cap. peak 0.4 km from Sahagun, where Kontur is 46,199/km2; block holds 1.78x the city's figure; demoted from real on review: 6 hexes hold 1.8x Sahagun's figure",2026-09-14 f95259a4-kontur
eg,32.65227,25.71527,capped,Luxor,EG29,0.608,"73 hexes, 28 at the cap, hold 2,185,844 people, 1.5x the governorate's 1,459,385 (data/geo/eg/eg_lookup.csv)",2026-09-14 f95259a4-kontur
eg,31.69984,26.54732,real,Akhmim,EG26,0.050,"10 hexes, 2 at the cap. peak 4.9 km from Akhmim, where Kontur is 19,409/km2; block holds 0.59x the city's figure",2026-09-14 f95259a4-kontur
eg,31.15755,30.96795,real,Al Mahallah al Kubra,EG16,0.100,"18 hexes, 1 at the cap. peak 0.6 km from Al Mahallah al Kubra, where Kontur is 45,992/km2; block holds 0.99x the city's figure",2026-09-14 f95259a4-kontur
eg,29.92152,31.18980,real,Alexandria,EG02,0.652,"113 hexes, 47 at the cap. peak 3.1 km from Alexandria, where Kontur is 46,200/km2; block holds 0.76x the city's figure",2026-09-14 f95259a4-kontur
eg,31.16992,27.17656,real,Asyut,EG25,0.093,"19 hexes, 2 at the cap. peak 0.9 km from Asyut, where Kontur is 46,200/km2; block holds 1.27x the city's figure",2026-09-14 f95259a4-kontur
eg,31.50298,30.58402,real,Az Zaqaziq,EG13,0.052,"12 hexes, 7 at the cap. peak 1.9 km from Az Zaqaziq, where Kontur is 46,200/km2; block holds 1.42x the city's figure",2026-09-14 f95259a4-kontur
eg,31.54572,30.60954,real,Az Zaqaziq,EG13,0.005,"1 hexes, 1 at the cap. peak 5.6 km from Az Zaqaziq, where Kontur is 46,200/km2; block holds 0.13x the city's figure",2026-09-14 f95259a4-kontur
eg,31.30568,30.10374,real,Cairo,EG01,0.730,"450 hexes, 279 at the cap. peak 8.2 km from Cairo, where Kontur is 45,890/km2; block holds 0.76x the city's figure",2026-09-14 f95259a4-kontur
eg,31.81273,31.43204,real,Damietta,EG11,0.164,"on Damietta city, 1.5 km from its centre, where Kontur is 43,331/km2; worldcities matched Ras el-Barr",2026-09-14 f95259a4-kontur
eg,32.26483,31.25211,real,Port Said,EG03,0.769,"22 hexes, 5 at the cap. peak 3.8 km from Port Said, where Kontur is 31,967/km2; block holds 1.19x the city's figure",2026-09-14 f95259a4-kontur
et,40.01655,11.60358,unreviewed,"Afar, ETH_02_01_04",ETH_02_01_04,0.568,"one hex at the cap, 57% of the woreda, no town within 20 km",2026-09-14 f95259a4-kontur
et,39.54406,13.47245,unreviewed,Mekele outskirts,ETH_11_03_01,0.450,"7 hexes, 3 at the cap, 45% of ETH_11_03_01; 8 km from Mekele's centre, where Kontur is 4,170/km2",2026-09-14 f95259a4-kontur
et,40.66070,5.11777,unreviewed,"Somali, ETH_10_06_02",ETH_10_06_02,0.289,"one hex at the cap, 29% of the woreda, no town within 20 km",2026-09-14 f95259a4-kontur
et,42.19221,7.32036,unreviewed,"Somali, ETH_10_07_04",ETH_10_07_04,0.215,"one hex at the cap, 22% of the woreda, no town within 20 km",2026-09-14 f95259a4-kontur
et,41.19916,9.53043,unreviewed,"Somali, at Bike",ETH_10_09_05,0.299,"one hex at the cap, 30% of ETH_10_09_05, 6x the town's figure",2026-09-14 f95259a4-kontur
et,39.55628,3.45637,unreviewed,"Somali, at Moyale",ETH_10_06_03,0.094,"one hex at the cap, 9% of ETH_10_06_03, no Ethiopian town in worldcities within 20 km",2026-09-14 f95259a4-kontur
et,38.72301,9.04743,real,Addis Ababa,ETH_01_05_01,0.862,"89 hexes, 13 at the cap. peak 2.8 km from Addis Ababa, where Kontur is 46,200/km2; block holds 0.59x the city's figure",2026-09-14 f95259a4-kontur
et,37.39561,11.58237,real,Bahir Dar,ETH_03_03_01,0.638,"12 hexes, 5 at the cap. peak 2.5 km from Bahir Dar, where Kontur is 46,199/km2; block holds 1.23x the city's figure",2026-09-14 f95259a4-kontur
et,43.53191,5.80028,real,Gode,ETH_10_08_01,0.292,"2 hexes, 1 at the cap. peak 16.9 km from Gode, where Kontur is 18,396/km2; block holds 0.13x the city's figure",2026-09-14 f95259a4-kontur
gn,-13.54230,9.64433,capped,"Conakry, northeast edge",Conakry,0.443,"53 hexes, 15 at the cap, 44% of Conakry, 24 km from Kaloum; Kontur within 1 km of Kaloum peaks at 6,732/km2 and of Ratoma at 5,489/km2",2026-09-14 f95259a4-kontur
gn,-13.54917,9.68210,capped,"Conakry, northeast edge, second piece",Conakry,0.014,"one hex at the cap 4 km north of the main block, same cause",2026-09-14 f95259a4-kontur
hk,114.19429,22.29268,real,Hong Kong,B,0.419,"4 hexes, 3 at the cap. peak 0.8 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.17756,22.33209,real,Hong Kong,E,0.352,"8 hexes, 8 at the cap. peak 6.1 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.04x the city's figure",2026-09-14 f95259a4-kontur
hk,114.14622,22.33067,real,Hong Kong,F,0.276,"3 hexes, 2 at the cap. peak 8.8 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.15429,22.29286,real,Hong Kong,A,0.264,"3 hexes, 2 at the cap. peak 4.2 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.20022,22.33513,real,Hong Kong,G,0.264,"9 hexes, 9 at the cap. peak 4.9 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.04x the city's figure",2026-09-14 f95259a4-kontur
hk,114.20889,22.33351,real,Hong Kong,G,0.264,"7 hexes, 7 at the cap. peak 4.2 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.03x the city's figure",2026-09-14 f95259a4-kontur
hk,114.26422,22.31593,real,Hong Kong,Q,0.258,"4 hexes, 3 at the cap. peak 5.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.16022,22.33532,real,Hong Kong,F,0.256,"3 hexes, 2 at the cap. peak 8.1 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.12612,22.37796,real,Hong Kong,K,0.254,"6 hexes, 4 at the cap. peak 16.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.26088,22.32381,real,Hong Kong,Q,0.252,"5 hexes, 4 at the cap. peak 5.0 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.20296,22.29107,real,Hong Kong,B,0.247,"4 hexes, 3 at the cap. peak 1.4 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.15704,22.24878,real,Hong Kong,D,0.235,"2 hexes, 2 at the cap. peak 5.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.16889,22.33371,real,Hong Kong,F,0.205,"3 hexes, 3 at the cap. peak 7.1 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.13162,22.28981,real,Hong Kong,A,0.200,"2 hexes, 2 at the cap. peak 6.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.14030,22.28820,real,Hong Kong,A,0.200,"2 hexes, 2 at the cap. peak 5.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.19155,22.33674,real,Hong Kong,G,0.198,"8 hexes, 8 at the cap. peak 5.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.04x the city's figure",2026-09-14 f95259a4-kontur
hk,114.13814,22.36846,real,Hong Kong,S,0.197,"3 hexes, 1 at the cap. peak 14.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.16039,22.24089,real,Hong Kong,D,0.182,"2 hexes, 1 at the cap. peak 6.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.18348,22.37453,real,Hong Kong,R,0.177,"5 hexes, 2 at the cap. peak 11.5 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.21163,22.28945,real,Hong Kong,C,0.175,"3 hexes, 2 at the cap. peak 2.4 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.21755,22.33190,real,Hong Kong,J,0.173,"3 hexes, 3 at the cap. peak 3.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.23291,22.31452,real,Hong Kong,J,0.173,"4 hexes, 3 at the cap. peak 2.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.22956,22.32240,real,Hong Kong,J,0.173,"5 hexes, 4 at the cap. peak 2.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.22622,22.33028,real,Hong Kong,J,0.173,"3 hexes, 3 at the cap. peak 3.4 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.25221,22.32543,real,Hong Kong,J,0.173,"5 hexes, 5 at the cap. peak 4.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.11744,22.37957,real,Hong Kong,K,0.169,"2 hexes, 2 at the cap. peak 17.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.12947,22.37007,real,Hong Kong,S,0.167,"4 hexes, 2 at the cap. peak 15.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.20280,22.38544,real,Hong Kong,R,0.163,"5 hexes, 2 at the cap. peak 11.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.22941,22.41674,real,Hong Kong,R,0.137,"4 hexes, 1 at the cap. peak 14.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.22029,22.28784,real,Hong Kong,C,0.122,"2 hexes, 2 at the cap. peak 3.4 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.13970,22.25200,real,Hong Kong,D,0.118,"1 hexes, 1 at the cap. peak 5.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.22075,22.41836,real,Hong Kong,R,0.103,"3 hexes, 1 at the cap. peak 15.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.22364,22.27995,real,Hong Kong,C,0.100,"2 hexes, 1 at the cap. peak 4.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.10146,22.36076,real,Hong Kong,S,0.096,"2 hexes, 1 at the cap. peak 16.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.23899,22.26257,real,Hong Kong,C,0.086,"2 hexes, 1 at the cap. peak 8.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.23230,22.27834,real,Hong Kong,C,0.086,"2 hexes, 1 at the cap. peak 5.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.05411,22.34050,real,Hong Kong,K,0.085,"1 hexes, 1 at the cap. peak 19.0 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.17481,22.37615,real,Hong Kong,R,0.082,"2 hexes, 2 at the cap. peak 12.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.01x the city's figure",2026-09-14 f95259a4-kontur
hk,114.27288,22.31431,real,Hong Kong,Q,0.067,"1 hexes, 1 at the cap. peak 6.5 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.19095,22.30056,real,Hong Kong,G,0.066,"1 hexes, 1 at the cap. peak 1.0 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.24765,22.26096,real,Hong Kong,C,0.061,"1 hexes, 1 at the cap. peak 9.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
